# Radius     Gravity      Pressure     Temperature  Density      Vp           Vs           K            G            Expansivity  Cp            dGdT         
4.690769e+06 9.943224e+00 7.107122e+10 2.185354e+03 4.946952e+03 1.257158e+04 6.729745e+03 4.831126e+11 2.240448e+11 1.672824e-05 1.240854e+03 -1.980368e+07
4.700240e+06 9.942453e+00 7.060494e+10 2.182573e+03 4.942165e+03 1.255891e+04 6.725222e+03 4.814723e+11 2.235272e+11 1.678410e-05 1.241016e+03 -1.982811e+07
4.709712e+06 9.941725e+00 7.013912e+10 2.179787e+03 4.937370e+03 1.254621e+04 6.720683e+03 4.798328e+11 2.230091e+11 1.684035e-05 1.241179e+03 -1.985268e+07
4.719183e+06 9.941041e+00 6.967385e+10 2.176996e+03 4.932570e+03 1.253348e+04 6.716131e+03 4.781943e+11 2.224905e+11 1.689698e-05 1.241344e+03 -1.987738e+07
4.728654e+06 9.940400e+00 6.920908e+10 2.174200e+03 4.927763e+03 1.252073e+04 6.711563e+03 4.765567e+11 2.219715e+11 1.695400e-05 1.241509e+03 -1.990221e+07
4.738125e+06 9.939801e+00 6.874481e+10 2.171398e+03 4.922949e+03 1.250795e+04 6.706981e+03 4.749199e+11 2.214520e+11 1.701141e-05 1.241676e+03 -1.992718e+07
4.747596e+06 9.939243e+00 6.828105e+10 2.168592e+03 4.918129e+03 1.249514e+04 6.702384e+03 4.732839e+11 2.209319e+11 1.706922e-05 1.241844e+03 -1.995230e+07
4.757067e+06 9.938726e+00 6.781778e+10 2.165780e+03 4.913302e+03 1.248230e+04 6.697772e+03 4.716488e+11 2.204114e+11 1.712744e-05 1.242013e+03 -1.997755e+07
4.766538e+06 9.938250e+00 6.735501e+10 2.162963e+03 4.908468e+03 1.246943e+04 6.693144e+03 4.700145e+11 2.198904e+11 1.718607e-05 1.242183e+03 -2.000294e+07
4.776010e+06 9.937814e+00 6.689269e+10 2.160140e+03 4.903626e+03 1.245654e+04 6.688501e+03 4.683808e+11 2.193688e+11 1.724511e-05 1.242355e+03 -2.002848e+07
4.785481e+06 9.937416e+00 6.643091e+10 2.157312e+03 4.898778e+03 1.244361e+04 6.683843e+03 4.667481e+11 2.188468e+11 1.730456e-05 1.242527e+03 -2.005416e+07
4.794952e+06 9.937058e+00 6.596962e+10 2.154478e+03 4.893923e+03 1.243066e+04 6.679169e+03 4.651162e+11 2.183243e+11 1.736444e-05 1.242701e+03 -2.007999e+07
4.804423e+06 9.936738e+00 6.550883e+10 2.151640e+03 4.889061e+03 1.241768e+04 6.674480e+03 4.634851e+11 2.178012e+11 1.742475e-05 1.242876e+03 -2.010597e+07
